id,name,department,rmp_url,created_at,updated_at,course_codes
31,Brian Fraser,Computer Science,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1500856,,,"[""CMPT120"", ""CMPT125"", ""CMPT130"", ""CMPT212"", ""CMPT213"", ""CMPT250"", ""CMPT276"", ""CMPT300"", ""CMPT373"", ""IAT201""]"
33,Amy Conroy,Criminology,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2574920,,,"[""ALS603"", ""CRIM103"", ""crim1100"", ""CRIM135"", ""CRIM230"", ""CRIM317"", ""CRIM330"", ""CRIM331"", ""CRIM332"", ""CRIM335"", ""CRIM338"", ""CRIM343""]"
34,Eldon Emberly,Physics,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=484471,,,"[""PHYS100"", ""PHY101"", ""PHYS101"", ""PHYS347"", ""PHYSI101"", ""PHYSICS100"", ""PHYSICS101"", ""PSY101""]"
36,Eric Beauregard,Criminology,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1219026,,,"[""CRIM316"", ""CRIM326"", ""CRIM343"", ""CRIM346"", ""CRIM3XX"", ""CRIM400S"", ""CRIM454"", ""CRIM456"", ""CRIM870"", ""CRIM898""]"
37,Enda Brophy,Communication,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1476962,,,"[""CMNS130"", ""CMNS240"", ""CMNS440"", ""CMMN130"", ""CMNS130W"", ""CMNS488""]"
38,Ivelina Koleva Tchizmarova,Linguistics,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1248026,,,"[""LING160"", ""LING200"", ""LING220""]"
39,Ivona Mladenovic,Biology,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=362553,,,"[""100"", ""101"", ""102"", ""B100"", ""BIO101"", ""BIO102"", ""BISC"", ""BISC101"", ""BISC101102"", ""BISC1012"", ""BISC101BISC102"", ""BISC102"", ""BISC104"", ""BISC202""]"
40,Ilia Bykov,Education,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2278060,,,"[""ALC101"", ""BUS200"", ""BUS201"", ""BUS216"", ""BUS217"", ""BUS340"", ""BUS360W"", ""BUS496"", ""MBAF501"", ""BUS251""]"
41,Marie Ouellet,Criminology,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2028214,,,"[""CRIM220""]"
42,Uzair Azmat,Business Administration,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=3110696,,,"[""BUS207""]"
43,Carman Fung,Gender Studies,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2865715,,,"[""100"", ""101"", ""102"", ""GSWS331""]"
44,Shervin Janesar,Engineering,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=3121183,,,"[""ENSC204"", ""ENSC385""]"
45,John Nesbit,Education,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=30329,,,"[""220"", ""EDU220"", ""EDU222"", ""EDUC210"", ""EDUC220"", ""EDUC222"", ""EDUC327"", ""EDUCATION"", ""PROGRAMIM"", ""PSYC220""]"
46,Mohammad  Narimani,Engineering,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1946893,,,"[""MSE110"", ""MSE211"", ""MSE250"", ""MSE280"", ""MSE310"", ""MSE352"", ""MSE381"", ""MSE413"", ""MSE481"", ""MSE491"", ""MSE895""]"
47,Joanna Niezen,Mathematics,https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2813148,,,"[""Math150"", ""Math190"", ""MATH292""]"
